RK,Player,Ht,From,To,Tm,Lg,G#,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,Handed,COLOR
70,Isaiah Thomas\thomais02,5-9,2012,2017,TOT,NBA,413,281,12299,2490,5633,1715,3517,775,2116,1912,2188,231,835,1066,2135,401,38,948,894,7667,.442,.488,.366,.511,.874,.581,L,10
71,Tom McMillen\mcmilto01,6-11,1981,1986,TOT,NBA,400,54,8424,1347,2781,1344,2757,3,24,631,781,427,943,1370,437,96,117,433,920,3328,.484,.487,.125,.485,.808,.533,L,10
72,Brandan Wright\wrighbr03,6-10,2008,2017,TOT,NBA,377,56,6186,1141,1883,1141,1871,0,12,392,582,532,871,1403,171,176,383,185,508,2674,.606,.610,.000,.606,.674,.625,L,10
73,Calvin Booth\boothca01,6-11,2000,2009,TOT,NBA,366,83,4477,472,1047,470,1038,2,9,244,326,316,694,1010,151,101,358,180,678,1190,.451,.453,.222,.452,.748,.500,L,10
74,Sarunas Marciulionis\marcisa01,6-5,1990,1997,TOT,NBA,363,30,8123,1571,3109,1444,2765,127,344,1362,1773,292,527,819,807,459,31,715,971,4631,.505,.522,.369,.526,.768,.595,L,10
75,Keon Clark\clarkke01,6-11,1999,2004,TOT,NBA,353,65,7971,1179,2359,1178,2340,1,19,523,811,655,1441,2096,322,184,571,470,1013,2882,.500,.503,.053,.500,.645,.531,L,10
76,Kareem Rush\rushka01,6-6,2003,2010,TOT,NBA,346,78,5956,876,2189,588,1384,288,805,173,246,104,468,572,353,150,74,298,459,2213,.400,.425,.358,.466,.703,.482,L,10
77,Rick Brunson\brunsri01,6-4,1998,2006,TOT,NBA,337,51,4533,397,1050,297,774,100,276,196,283,85,362,447,876,201,21,356,362,1090,.378,.384,.362,.426,.693,.464,L,10
78,Rex Walters\waltere01,6-4,1994,2000,TOT,NBA,335,67,4602,572,1296,385,778,187,518,216,267,81,322,403,569,129,30,291,439,1547,.441,.495,.361,.514,.809,.547,L,10
79,Lionel Hollins\hollili01,6-3,1981,1985,TOT,NBA,331,195,8421,1293,2813,1283,2746,10,67,505,687,149,552,701,1520,409,63,745,771,3101,.460,.467,.149,.461,.735,.498,L,10
80,Kent Bazemore\bazemke01,6-5,2013,2017,TOT,NBA,329,141,5980,860,2036,586,1249,274,787,357,516,94,803,897,493,278,119,394,543,2351,.422,.469,.348,.490,.692,.519,L,10
81,Kevin Grevey\greveke01,6-5,1981,1985,TOT,NBA,329,82,7641,1358,3073,1247,2731,111,342,626,743,199,448,647,667,187,53,367,553,3453,.442,.457,.325,.460,.843,.508,L,10
82,Mike Holton\holtomi01,6-4,1985,1990,TOT,NBA,325,122,5836,796,1805,768,1696,28,109,396,491,131,328,459,977,208,30,409,577,2016,.441,.453,.257,.449,.807,.499,L,10
83,Lawrence Funderburke\fundela01,6-9,1998,2005,TOT,NBA,318,7,4726,812,1606,810,1589,2,17,405,600,447,695,1142,183,94,100,225,360,2031,.506,.510,.118,.506,.675,.543,L,10
84,Lee Nailon\nailole01,6-9,2001,2006,TOT,NBA,306,96,5820,1121,2366,1120,2357,1,9,379,482,379,557,936,298,133,53,320,596,2622,.474,.475,.111,.474,.786,.509,L,10
85,Mark McNamara\mcnamma01,6-11,1983,1991,TOT,NBA,278,25,2707,362,707,362,707,0,0,256,467,345,482,827,77,35,39,223,374,980,.512,.512,,.512,.548,.537,L,10
86,Tiny Archibald\architi01,6-1,1981,1984,TOT,NBA,260,188,7836,1061,2250,1046,2183,15,67,862,1132,102,357,459,1728,198,25,684,520,2999,.472,.479,.224,.475,.761,.546,L,10
87,Bob Lanier\laniebo01,6-11,1981,1984,MIL,NBA,252,179,6724,1338,2462,1337,2455,1,7,675,926,419,1037,1456,689,237,212,550,748,3352,.543,.545,.143,.544,.729,.584,L,10
88,Anthony Randolph\randoan01,6-10,2009,2014,TOT,NBA,252,43,3841,677,1494,657,1411,20,83,415,561,335,743,1078,187,150,224,298,456,1789,.453,.466,.241,.460,.740,.514,L,10
89,Joe Bryant\bryanjo01,6-9,1981,1983,TOT,NBA,238,105,6402,1064,2260,1046,2179,18,81,503,656,313,678,991,564,232,93,536,772,2649,.471,.480,.222,.475,.767,.520,L,10
90,Donatas Motiejunas\motiedo01,7-0,2013,2017,TOT,NBA,230,101,4312,700,1474,582,1095,118,379,234,387,282,615,897,258,109,76,269,507,1752,.475,.532,.311,.515,.605,.533,L,10
91,Terrence Jones\joneste01,6-9,2013,2017,TOT,NBA,229,118,5551,984,1960,891,1649,93,311,368,592,395,932,1327,237,145,269,218,391,2429,.502,.540,.299,.526,.622,.547,L,10
92,Todd Fuller\fulleto02,6-11,1997,2001,TOT,NBA,225,23,2500,317,752,317,748,0,4,201,301,240,434,674,46,34,60,146,351,835,.422,.424,.000,.422,.668,.472,L,10
93,Joe Ingles\inglejo01,6-8,2015,2017,UTA,NBA,213,45,4043,385,890,165,325,220,565,77,101,51,419,470,399,186,18,219,324,1067,.433,.508,.389,.556,.762,.571,L,10
94,Shabazz Muhammad\muhamsh01,6-6,2014,2017,MIN,NBA,206,13,3806,734,1557,626,1252,108,305,400,534,238,380,618,124,63,19,155,226,1976,.471,.500,.354,.506,.749,.551,L,10
95,Walter Berry\berrywa01,6-8,1987,1989,TOT,NBA,205,132,4863,1201,2227,1200,2222,1,5,479,751,398,573,971,292,122,151,404,586,2882,.539,.540,.200,.540,.638,.563,L,10
96,Donnell Harvey\harvedo01,6-8,2001,2005,TOT,NBA,205,39,3318,453,985,452,975,1,10,243,369,261,566,827,161,97,80,209,464,1150,.460,.464,.100,.460,.659,.501,L,10
97,Steve Mix\mixst01,6-7,1981,1983,TOT,NBA,205,20,3371,627,1257,625,1246,2,11,411,500,235,391,626,277,134,38,200,264,1667,.499,.502,.182,.500,.822,.564,L,10
98,Reggie Williams\willire02,6-6,2010,2017,TOT,NBA,205,32,3720,598,1310,399,766,199,544,201,268,105,388,493,301,88,13,142,241,1596,.456,.521,.366,.532,.750,.559,L,10
99,Marcus Williams\willima03,6-3,2007,2010,TOT,NBA,203,10,3095,427,1107,301,715,126,392,148,193,56,305,361,574,87,7,295,197,1128,.386,.421,.321,.443,.767,.473,L,10
100,Allan Bristow\bristal01,6-7,1981,1983,TOT,NBA,201,54,4407,533,1209,519,1160,14,49,310,376,246,582,828,901,134,10,367,458,1390,.441,.447,.286,.447,.824,.506,L,10
101,Harold Miner\minerha01,6-5,1993,1996,TOT,NBA,200,47,3748,692,1504,669,1430,23,74,394,502,191,241,432,245,80,27,278,370,1801,.460,.468,.311,.468,.785,.522,L,10
102,Adrian Caldwell\caldwad01,6-8,1990,1998,TOT,NBA,197,1,1603,164,338,164,335,0,3,62,137,180,316,496,33,56,41,126,270,390,.485,.490,.000,.485,.453,.490,L,10
103,Dave Robisch\robisda01,6-10,1981,1984,TOT,NBA,188,0,3424,509,1193,509,1192,0,1,362,446,220,551,771,278,53,49,153,299,1380,.427,.427,.000,.427,.812,.497,L,10
104,Reggie Jordan\jordare01,6-4,1994,2000,TOT,NBA,186,2,1662,182,420,180,414,2,6,134,229,180,163,343,190,92,31,104,201,500,.433,.435,.333,.436,.585,.480,L,10
105,Xavier Henry\henryxa01,6-6,2011,2015,TOT,NBA,185,23,2905,368,907,327,781,41,126,273,430,81,270,351,120,100,23,139,264,1050,.406,.419,.325,.428,.635,.479,L,10
106,Bob McCann\mccanbo01,6-6,1990,1998,TOT,NBA,178,7,2385,296,618,295,613,1,5,146,253,154,314,468,104,80,79,134,349,739,.479,.481,.200,.480,.577,.507,L,10
107,Steve Scheffler\schefst01,6-9,1991,1997,TOT,NBA,174,8,918,121,217,120,212,1,5,88,116,81,99,180,26,30,8,34,131,331,.558,.566,.200,.560,.759,.617,L,10
108,Derrick Brown\brownde04,6-7,2010,2012,TOT,NBA,171,18,2554,354,687,341,646,13,41,174,273,167,246,413,119,89,32,109,208,895,.515,.528,.317,.525,.637,.554,L,10
109,Rodney Hood\hoodro01,6-8,2015,2017,UTA,NBA,169,140,4750,766,1829,461,986,305,843,291,357,58,470,528,370,126,36,217,412,2128,.419,.468,.362,.502,.815,.536,L,10
110,Brooks Thompson\thompbr01,6-4,1995,1998,TOT,NBA,168,8,1714,278,679,129,283,149,396,55,85,30,128,158,281,87,5,154,229,760,.409,.456,.376,.519,.647,.530,L,10
111,Kendall Marshall\marshke01,6-4,2013,2016,TOT,NBA,160,57,3083,315,789,187,443,128,346,44,72,23,230,253,779,107,10,285,180,802,.399,.422,.370,.480,.611,.489,L,10
112,Elmore Spencer\spencel01,7-0,1993,1997,TOT,NBA,157,75,2641,389,754,389,751,0,3,145,250,127,428,555,109,53,170,249,336,923,.516,.518,.000,.516,.580,.534,L,10
113,Salim Stoudamire\stoudsa01,6-1,2006,2008,ATL,NBA,157,1,2672,446,1097,279,641,167,456,201,228,22,192,214,164,55,10,158,240,1260,.407,.435,.366,.483,.882,.526,L,10
114,Carl Nicks\nicksca01,6-1,1981,1983,TOT,NBA,156,3,2579,450,973,450,963,0,10,167,293,112,185,297,249,132,7,228,342,1067,.462,.467,.000,.462,.570,.484,L,10
115,Jason Collier\collija02,7-0,2001,2005,TOT,NBA,151,65,2178,338,743,331,723,7,20,158,214,175,268,443,51,36,32,120,295,841,.455,.458,.350,.460,.738,.502,L,10
