RK,Player,Ht,From,To,Tm,Lg,G#,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,Handed,COLOR
43,Goran Dragic\dragigo01,6-3,2009,2017,TOT,NBA,619,383,16948,2977,6307,2318,4496,659,1811,1436,1910,459,1336,1795,2985,635,118,1397,1438,8049,.472,.516,.364,.524,.752,.563,L,10
44,Artis Gilmore\gilmoar01,7-2,1981,1988,TOT,NBA,615,476,18908,3400,5396,3399,5383,1,13,2577,3582,1607,3938,5545,908,305,1148,1538,2012,9378,.630,.631,.077,.630,.719,.673,L,10
45,Jeff Turner\turneje01,6-9,1985,1996,TOT,NBA,612,235,11244,1543,3304,1470,3092,73,212,538,700,621,1415,2036,635,215,85,687,1758,3697,.467,.475,.344,.478,.769,.512,L,10
46,John Lucas\lucasjo01,6-3,1981,1990,TOT,NBA,602,266,14234,2187,4959,1955,4195,232,764,1083,1415,258,952,1210,3859,698,33,1151,884,5689,.441,.466,.304,.464,.765,.510,L,10
47,James Harden\hardeja01,6-5,2010,2017,TOT,NBA,589,376,19754,3787,8558,2497,5020,1290,3538,3985,4663,444,2440,2884,3246,867,262,1921,1494,12849,.443,.497,.365,.518,.855,.606,L,10
48,Raef LaFrentz\lafrera01,6-11,1999,2008,TOT,NBA,563,438,14545,2227,4781,1749,3466,478,1315,758,1066,994,2429,3423,606,276,919,511,1863,5690,.466,.505,.363,.516,.711,.542,L,10
49,Elliot Perry\perryel01,6-0,1992,2002,TOT,NBA,549,133,9501,1353,2945,1215,2561,138,384,605,773,185,557,742,1699,574,20,780,707,3449,.459,.474,.359,.483,.783,.525,L,10
50,Johnny Dawkins\dawkijo01,6-2,1987,1995,TOT,NBA,541,303,14859,2361,5175,2181,4630,180,545,1082,1262,333,1003,1336,2997,618,29,1108,837,5984,.456,.471,.330,.474,.857,.522,L,10
51,Andris Biedrins\biedran01,6-11,2005,2014,TOT,NBA,516,311,11146,1432,2409,1432,2407,0,2,383,766,1190,2441,3631,467,331,580,479,1626,3247,.594,.595,.000,.594,.500,.591,L,10
52,Brandon Jennings\jennibr01,6-1,2010,2017,TOT,NBA,514,426,16182,2689,6898,1798,4345,891,2553,1361,1711,314,1260,1574,2977,656,94,1161,946,7630,.390,.414,.349,.454,.795,.499,L,10
53,Darrick Martin\martida01,5-11,1995,2008,TOT,NBA,514,178,9165,1186,3108,836,2078,350,1030,803,952,101,487,588,1475,340,22,631,894,3525,.382,.402,.340,.438,.843,.500,L,10
54,Greg Monroe\monrogr01,6-11,2011,2017,TOT,NBA,507,401,15199,2860,5619,2860,5609,0,10,1450,2065,1526,2983,4509,1133,584,318,997,1172,7170,.509,.510,.000,.509,.702,.549,L,10
55,Erick Strickland\stricer01,6-3,1997,2005,TOT,NBA,501,122,10189,1333,3400,929,2249,404,1151,710,860,224,1093,1317,1203,422,41,668,959,3780,.392,.413,.351,.451,.826,.500,L,10
56,Michael Beasley\beaslmi01,6-9,2009,2017,TOT,NBA,496,200,11727,2538,5569,2288,4848,250,721,932,1233,543,1802,2345,627,292,253,842,1084,6258,.456,.472,.347,.478,.756,.512,L,10
57,Terry Davis\daviste01,6-9,1990,2001,TOT,NBA,480,275,10369,1202,2545,1199,2526,3,19,654,1081,1106,1781,2887,273,183,149,518,1176,3061,.472,.475,.158,.473,.605,.507,L,10
58,Joel Anthony\anthojo01,6-9,2008,2017,TOT,NBA,478,110,6983,393,768,393,768,0,0,265,399,559,777,1336,97,126,526,224,812,1051,.512,.512,,.512,.664,.557,L,10
59,Ed Davis\davised01,6-10,2011,2017,TOT,NBA,478,93,9976,1356,2412,1356,2411,0,1,543,950,1085,1954,3039,396,255,449,374,1175,3255,.562,.562,.000,.562,.572,.575,L,10
60,John Crotty\crottjo01,6-1,1993,2003,TOT,NBA,477,6,5795,625,1449,481,1074,144,375,509,608,136,366,502,999,181,20,428,597,1903,.431,.448,.384,.481,.837,.554,L,10
61,Adrian Griffin\griffad01,6-5,2000,2008,TOT,NBA,477,179,7997,785,1794,735,1614,50,180,299,392,507,1005,1512,653,436,59,331,879,1919,.438,.455,.278,.452,.763,.488,L,10
62,Darko Milicic\milicda01,7-0,2004,2013,TOT,NBA,468,208,8638,1196,2602,1196,2596,0,6,421,734,628,1343,1971,405,206,613,573,1065,2813,.460,.461,.000,.460,.574,.481,L,10
63,Michael Smith\smithmi02,6-8,1995,2001,TOT,NBA,449,170,10552,950,1767,949,1760,1,7,626,1183,1122,2071,3193,661,361,248,526,1137,2527,.538,.539,.143,.538,.529,.552,L,10
64,Moochie Norris\norrimo01,6-1,1997,2006,TOT,NBA,445,35,7640,816,2033,700,1627,116,406,524,708,209,659,868,1233,321,19,524,484,2272,.401,.430,.286,.430,.740,.485,L,10
65,Trevor Booker\booketr01,6-8,2011,2017,TOT,NBA,441,155,9220,1272,2467,1215,2279,57,188,423,681,872,1588,2460,454,315,250,441,899,3024,.516,.533,.303,.527,.621,.547,L,10
66,Stacey King\kingst01,6-11,1990,1997,TOT,NBA,438,63,7406,1071,2240,1067,2223,4,17,673,952,597,863,1460,387,173,210,527,906,2819,.478,.480,.235,.479,.707,.530,L,10
67,Delonte West\westde01,6-4,2005,2012,TOT,NBA,432,258,11842,1601,3571,1225,2559,376,1012,620,751,213,1052,1265,1540,465,179,702,828,4198,.448,.479,.372,.501,.826,.538,L,10
68,Josh McRoberts\mcrobjo01,6-10,2008,2017,TOT,NBA,431,179,8265,914,1971,718,1396,196,575,309,438,468,1218,1686,901,222,194,381,815,2333,.464,.514,.341,.513,.705,.539,L,10
69,Bison Dele\delebi01,6-9,1992,1999,TOT,NBA,413,204,10004,1847,3499,1845,3485,2,14,840,1215,853,1711,2564,440,320,355,822,1297,4536,.528,.529,.143,.528,.691,.562,L,10
